label,epoch,probe,param,mse
vicreg_bs8,23,attentive,mean,0.09417778812348843
vicreg_bs8,25,attentive,mean,0.09393179044127464
vicreg_bs8,27,attentive,mean,0.10510276071727276
vicreg_bs8,1,attentive,alpha,0.31905296444892883
vicreg_bs8,3,attentive,alpha,0.08545324206352234
vicreg_bs8,5,attentive,alpha,0.046025294810533524
vicreg_bs8,7,attentive,alpha,0.030376028269529343
vicreg_bs8,9,attentive,alpha,0.028816502541303635
vicreg_bs8,11,attentive,alpha,0.021861862391233444
vicreg_bs8,13,attentive,alpha,0.02788340300321579
vicreg_bs8,15,attentive,alpha,0.03232352435588837
vicreg_bs8,17,attentive,alpha,0.040103379637002945
vicreg_bs8,19,attentive,alpha,0.03681103512644768
vicreg_bs8,21,attentive,alpha,0.04192390292882919
vicreg_bs8,23,attentive,alpha,0.04848982021212578
vicreg_bs8,25,attentive,alpha,0.04453323036432266
vicreg_bs8,27,attentive,alpha,0.05228027328848839
vicreg_bs8,1,attentive,zeta,0.8535763621330261
vicreg_bs8,3,attentive,zeta,0.4912968873977661
vicreg_bs8,5,attentive,zeta,0.2693478763103485
vicreg_bs8,7,attentive,zeta,0.18751850724220276
vicreg_bs8,9,attentive,zeta,0.1636979728937149
vicreg_bs8,11,attentive,zeta,0.15530678629875183
vicreg_bs8,13,attentive,zeta,0.13463954627513885
vicreg_bs8,15,attentive,zeta,0.1441059559583664
vicreg_bs8,17,attentive,zeta,0.14297853410243988
vicreg_bs8,19,attentive,zeta,0.15364833176136017
vicreg_bs8,21,attentive,zeta,0.1572810262441635
vicreg_bs8,23,attentive,zeta,0.13986575603485107
vicreg_bs8,25,attentive,zeta,0.14333035051822662
vicreg_bs8,27,attentive,zeta,0.15792524814605713
fft,1,linear,mean,0.7893761992454529
fft,3,linear,mean,0.7551206946372986
fft,5,linear,mean,0.49946579337120056
fft,7,linear,mean,0.3372628688812256
fft,9,linear,mean,0.2636738717556
fft,11,linear,mean,0.23265695571899414
fft,13,linear,mean,0.2245204597711563
fft,15,linear,mean,0.2184573858976364
fft,17,linear,mean,0.21609832346439362
fft,19,linear,mean,0.21324707567691803
fft,21,linear,mean,0.2120027095079422
fft,1,linear,alpha,0.7389747500419617
fft,3,linear,alpha,0.6930062770843506
fft,5,linear,alpha,0.3144882321357727
fft,7,linear,alpha,0.18523381650447845
fft,9,linear,alpha,0.0992773026227951
fft,11,linear,alpha,0.061809565871953964
fft,13,linear,alpha,0.04959145933389664
fft,15,linear,alpha,0.04720347374677658
fft,17,linear,alpha,0.04986599460244179
fft,19,linear,alpha,0.050572361797094345
fft,21,linear,alpha,0.051367610692977905
fft,1,linear,zeta,0.8397776484489441
fft,3,linear,zeta,0.8172351121902466
fft,5,linear,zeta,0.684443473815918
fft,7,linear,zeta,0.48929187655448914
fft,9,linear,zeta,0.42807042598724365
fft,11,linear,zeta,0.4035043716430664
fft,13,linear,zeta,0.39944952726364136
fft,15,linear,zeta,0.38971132040023804
fft,17,linear,zeta,0.38233068585395813
fft,19,linear,zeta,0.3759218454360962
fft,21,linear,zeta,0.3726378381252289
fft,1,knn,mean,0.7485556602478027
fft,3,knn,mean,0.6643573045730591
fft,5,knn,mean,0.4864872694015503
fft,7,knn,mean,0.39273688197135925
fft,9,knn,mean,0.34454458951950073
fft,11,knn,mean,0.285677433013916
fft,13,knn,mean,0.22962555289268494
fft,15,knn,mean,0.2012331336736679
fft,17,knn,mean,0.17707757651805878
fft,19,knn,mean,0.17409540712833405
fft,21,knn,mean,0.17862755060195923
fft,1,knn,alpha,0.6833974123001099
fft,3,knn,alpha,0.6048105359077454
fft,5,knn,alpha,0.2505526542663574
fft,7,knn,alpha,0.13058212399482727
fft,9,knn,alpha,0.08900298923254013
fft,11,knn,alpha,0.0616680383682251
fft,13,knn,alpha,0.040132541209459305
fft,15,knn,alpha,0.03818357363343239
fft,17,knn,alpha,0.03958820924162865
fft,19,knn,alpha,0.04292270168662071
fft,21,knn,alpha,0.04881657287478447
fft,1,knn,zeta,0.8137139081954956
fft,3,knn,zeta,0.723904013633728
fft,5,knn,zeta,0.7224219441413879
fft,7,knn,zeta,0.6548916697502136
fft,9,knn,zeta,0.6000862717628479
fft,11,knn,zeta,0.5096867680549622
fft,13,knn,zeta,0.41911858320236206
fft,15,knn,zeta,0.3642826974391937
fft,17,knn,zeta,0.3145669102668762
fft,19,knn,zeta,0.30526813864707947
fft,21,knn,zeta,0.3084385097026825
fft,1,attentive,mean,0.6089821606874466
fft,3,attentive,mean,0.3334948532283306
fft,5,attentive,mean,0.18584514781832695
fft,7,attentive,mean,0.12029399629682302
fft,9,attentive,mean,0.09722062852233648
fft,11,attentive,mean,0.0810474781319499
fft,13,attentive,mean,0.08262972999364138
fft,15,attentive,mean,0.08230231050401926
fft,17,attentive,mean,0.07868432439863682
fft,19,attentive,mean,0.0843742759898305
fft,21,attentive,mean,0.08289152663201094
fft,1,attentive,alpha,0.3356955349445343
fft,3,attentive,alpha,0.08229627460241318
fft,5,attentive,alpha,0.05538126081228256
fft,7,attentive,alpha,0.02898762933909893
fft,9,attentive,alpha,0.02707531861960888
fft,11,attentive,alpha,0.021344667300581932
fft,13,attentive,alpha,0.017780015245079994
fft,15,attentive,alpha,0.020916910842061043
fft,17,attentive,alpha,0.02796298637986183
fft,19,attentive,alpha,0.02801232971251011
